Format Rank,Site Name,State,Site Type,Service Description,Unique Service Line,Service Type,Waste Stream,Bin Size,Cleanaway,Veolia,Remondis,Current,Incumbant
1,St Patrick's Green,NSW,RV & AC,20 x 1100L General Waste - 1 x Weekly,St Patrick's Green - 20 x 1100L General Waste - 1 x Weekly,Rear Lift,General Waste,1100,"$28,730.00","$30,940.00","$28,951.00","$65,327.60 ",Cleanaway
2,St Patrick's Green,NSW,RV & AC,10 x 240L General Waste - 1 x Weekly,St Patrick's Green - 10 x 240L General Waste - 1 x Weekly,Rear Lift,General Waste,240,"$3,182.40","$3,588.00","$3,809.52","$5,600.40 ",Cleanaway
3,St Patrick's Green,NSW,RV & AC,4 x 240L Clinical Waste - Fortnightly,St Patrick's Green - 4 x 240L Clinical Waste - Fortnightly,Medical,Clinical Waste,240,"$8,971.56","$8,999.64","$9,963.72","$16,375.32 ",Cleanaway
4,St Patrick's Green,NSW,RV & AC,1 x 240L Cytotoxic Waste - On-Call,St Patrick's Green - 1 x 240L Cytotoxic Waste - On-Call,Medical,Cytotoxic Waste,240,$0.00,$0.00,$0.00,$599.56,Cleanaway
5,St Patrick's Green,NSW,RV & AC,4 x 1100L Comingle - 1 x Weekly,St Patrick's Green - 4 x 1100L Comingle - 1 x Weekly,Rear Lift,Comingle,1100,"$4,071.60","$3,588.00","$2,545.92","$5,210.40 ",Cleanaway
6,St Patrick's Green,NSW,RV & AC,8 x 240L Comingle - 1 x Weekly,St Patrick's Green - 8 x 240L Comingle - 1 x Weekly,Rear Lift,Comingle,240,$884.00,$988.00,$923.52,"$1,320.80 ",Cleanaway
7,St Patrick's Green,NSW,RV & AC,3 x 1100L Paper & Cardboard - 1 x Weekly,St Patrick's Green - 3 x 1100L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,1100,"$1,591.20","$2,168.40","$1,402.44","$2,433.60 ",Cleanaway
8,St Patrick's Green,NSW,RV & AC,1 x 660L Paper & Cardboard - 1 x Weekly,St Patrick's Green - 1 x 660L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,660,$577.20,$650.00,$467.48,$416.00,Cleanaway
9,St Patrick's Green,NSW,RV & AC,13 x 22L Sanitary Waste - Every 4 Weeks,St Patrick's Green - 13 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,"$1,267.50","$1,063.01",$948.09,"$1,453.40 ",Cleanaway
10,St Patrick's Green,NSW,RV & AC,1 x 1000L Grease Trap - Every 13 Weeks,St Patrick's Green - 1 x 1000L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,1000,$879.74,$799.76,$919.72,$927.72,Cleanaway
11,St Brigid's Green,NSW,RV & AC,5 x 660L General Waste - 3 x Weekly,St Brigid's Green - 5 x 660L General Waste - 3 x Weekly,Rear Lift,General Waste,660,"$17,533.15","$15,306.72","$15,522.41","$27,082.91 ",Cleanaway
12,St Brigid's Green,NSW,RV & AC,2 x 660L General Waste - 2 x Weekly,St Brigid's Green - 2 x 660L General Waste - 2 x Weekly,Rear Lift,General Waste,660,"$2,882.88","$2,516.80","$2,552.26","$4,451.83 ",Cleanaway
13,St Brigid's Green,NSW,RV & AC,2 x 660L General Waste - Supply Only,St Brigid's Green - 2 x 660L General Waste - Supply Only,Rear Lift,General Waste,660,$230.40,$0.00,$0.00,,Cleanaway
14,St Brigid's Green,NSW,RV & AC,10 x 240L General Waste - Supply Only,St Brigid's Green - 10 x 240L General Waste - Supply Only,Rear Lift,General Waste,240,$588.00,$0.00,$266.40,,Cleanaway
15,St Brigid's Green,NSW,RV & AC,4 x 240L Clinical Waste - Fortnightly,St Brigid's Green - 4 x 240L Clinical Waste - Fortnightly,Medical,Clinical Waste,240,"$2,990.52","$2,999.88","$3,321.24","$5,454.80 ",Cleanaway
16,St Brigid's Green,NSW,RV & AC,1 x 120L Cytotoxic Waste - Every 4 Weeks,St Brigid's Green - 1 x 120L Cytotoxic Waste - Every 4 Weeks,Medical,Cytotoxic Waste,120,$857.61,$822.12,"$1,223.50","$1,330.16 ",Cleanaway
17,St Brigid's Green,NSW,RV & AC,2 x 1100L Paper & Cardboard - 2 X Weekly,St Brigid's Green - 2 x 1100L Paper & Cardboard - 2 X Weekly,Rear Lift,Paper & Cardboard,1100,"$1,782.14","$2,428.61","$1,570.73","$2,708.16 ",Cleanaway
18,St Brigid's Green,NSW,RV & AC,1 x 1100L Comingle - 1 x Weekly,St Brigid's Green - 1 x 1100L Comingle - 1 x Weekly,Rear Lift,Comingle,1100,"$1,185.39","$1,662.96",$695.88,"$1,419.91 ",Cleanaway
19,St Brigid's Green,NSW,RV & AC,11 x 22L Sanitary Waste - Every 4 Weeks,St Brigid's Green - 11 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,"$1,072.50",$899.47,$802.23,"$1,229.80 ",Cleanaway
20,St Brigid's Green,NSW,RV & AC,1 x 1000L Grease Trap - Every 13 Weeks,St Brigid's Green - 1 x 1000L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,1000,$879.74,$799.76,$919.72,$927.72,Cleanaway
21,St Luke's Green,QLD,RV & AC,7 x 1100L General Waste - 2 x Weekly,St Luke's Green - 7 x 1100L General Waste - 2 x Weekly,Rear Lift,General Waste,1100,"$11,323.10","$10,413.30","$12,679.24","$17,735.14 ",Cleanaway
22,St Luke's Green,QLD,RV & AC,15 x 240L General Waste - 2 X Weekly,St Luke's Green - 15 x 240L General Waste - 2 X Weekly,Rear Lift,General Waste,240,"$5,491.20","$4,596.96","$4,118.40","$9,659.52 ",Cleanaway
23,St Luke's Green,QLD,RV & AC,19 x 240L Comingle - 1 x Weekly,St Luke's Green - 19 x 240L Comingle - 1 x Weekly,Rear Lift,Comingle,240,"$5,037.55","$3,556.03","$4,527.34","$8,260.29 ",Cleanaway
24,St Luke's Green,QLD,RV & AC,3 x 1100L Paper & Cardboard - 1 x Weekly,St Luke's Green - 3 x 1100L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,1100,$566.28,"$1,501.32","$1,761.76","$1,046.99 ",Cleanaway
25,St Luke's Green,QLD,RV & AC,3 x 240L Clinical Waste - Every 4 Weeks,St Luke's Green - 3 x 240L Clinical Waste - Every 4 Weeks,Medical,Clinical Waste,240,$747.63,$682.99,$591.63,$841.10,Cleanaway
26,St Luke's Green,QLD,RV & AC,1 x 240L Cytotoxic Waste - On-Call,St Luke's Green - 1 x 240L Cytotoxic Waste - On-Call,Medical,Cytotoxic Waste,240,$0.00,$0.00,$60.00,$0.00,Cleanaway
27,St Luke's Green,QLD,RV & AC,1 x 240L Confidential Waste - Every 4 Weeks,St Luke's Green - 1 x 240L Confidential Waste - Every 4 Weeks,Confidential,Confidential Waste,240,$378.30,$353.55,$136.24,$452.01,Cleanaway
28,St Luke's Green,QLD,RV & AC,10 x 22L Sanitary Waste - Every 4 Weeks,St Luke's Green - 10 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,$975.00,$794.30,$729.30,"$1,423.50 ",Cleanaway
29,St Luke's Green,QLD,RV & AC,1 x 6000L Grease Trap - Every 13 Weeks,St Luke's Green - 1 x 6000L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,6000,"$5,998.20","$6,430.07","$6,717.98","$4,390.68 ",Cleanaway
30,Geelong Grove,VIC,RV,1 x 1100L General Waste - Every 4 Weeks,Geelong Grove - 1 x 1100L General Waste - Every 4 Weeks,Rear Lift,General Waste,1100,$416.00,$428.35,$548.34,$587.34,Veolia
31,Geelong Grove,VIC,RV,1 x 240L Confidential Waste - On-Call,Geelong Grove - 1 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$0.00,$0.00,$0.00,$0.00,Veolia
32,Morven Manor,VIC,RV,1 x 500L Grease Trap - On-Call,Morven Manor - 1 x 500L Grease Trap - On-Call,Liquid,Grease Trap,500,$0.00,$0.00,$0.00,$0.00,Veolia
33,The Heritage,NSW,RV,10 x 240L Comingle - Fortnightly,The Heritage - 10 x 240L Comingle - Fortnightly,Rear Lift,Comingle,240,"$1,060.80","$1,185.60","$1,108.22","$1,475.14 ",Veolia
34,The Heritage,NSW,RV,10 x 240L Paper & Cardboard - Fortnightly,The Heritage - 10 x 240L Paper & Cardboard - Fortnightly,Rear Lift,Paper & Cardboard,240,$840.84,$943.80,"$1,542.68",$966.11,Veolia
